time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Mon Dec 15 08:45:41 2014 , 0.745615304265 , 0.00213032931902 , 350.00002 , 358.98139 , -0.15435941 , 100.20007 , 101.61419 , 0.0 , 1814620.30000 , 1849999.90000 , 283969.45771 
Mon Dec 15 11:49:15 2014 , 0.729808409841 , 0.00213032931902 , 342.58009 , 358.98149 , -0.15435941 , 100.21001 , 101.27120 , 0.0 , 1814620.30000 , 1850000.00000 , 283969.45771 
Mon Dec 15 14:52:49 2014 , 0.730642476376 , 0.00213032931902 , 342.97161 , 358.97380 , -0.15435941 , 100.10000 , 101.97599 , 0.0 , 1814620.30000 , 1859999.90000 , 283969.45771 
Mon Dec 15 18:02:44 2014 , 0.727187934352 , 0.00213032931902 , 341.35001 , 358.95619 , -0.15435941 , 99.90001 , 101.95999 , 0.0 , 1814620.30000 , 1865000.00000 , 283969.45771 
Mon Dec 15 21:06:55 2014 , 0.727187934352 , 0.00213032931902 , 341.35001 , 358.93468 , -0.15435941 , 99.71002 , 101.12248 , 0.0 , 1814620.30000 , 1864999.90000 , 283969.45771 
Tue Dec 16 00:10:30 2014 , 0.517839490152 , 0.00151707825087 , 341.34000 , 358.91536 , -0.15435941 , 100.72171 , 102.18514 , 0.0 , 1821759.40000 , 1865000.00000 , 283969.45771 
Tue Dec 16 03:14:09 2014 , -0.0570578598114 , -0.000159772232895 , 340.00000 , 357.12000 , -0.15597216 , 106.19657 , 106.70000 , 0.0 , 1841839.60000 , 1878004.40000 , 286981.42596 
Tue Dec 16 06:17:45 2014 , -1.99834807046 , -0.00559573836504 , 330.17008 , 357.11964 , -0.15911094 , 106.44746 , 107.99999 , 0.0 , 1908699.30000 , 1954861.20000 , 293014.3579 
Tue Dec 16 09:21:20 2014 , -2.31387943447 , -0.00647927727168 , 330.42033 , 357.11999 , -0.15909559 , 107.42424 , 108.55449 , 0.0 , 1920000.10000 , 1954861.10000 , 293023.3357 
Tue Dec 16 12:24:54 2014 , -2.46275277191 , -0.00693088914874 , 330.14004 , 355.32999 , -0.16063789 , 106.80532 , 107.76292 , 0.0 , 1925971.50000 , 1961538.30000 , 296035.30299 
Tue Dec 16 15:28:29 2014 , -1.64522580543 , -0.00463013494986 , 329.00000 , 355.32999 , -0.15906489 , 109.03279 , 109.96504 , 0.0 , 1897508.70000 , 1935999.90000 , 293041.29129 
Tue Dec 16 18:32:03 2014 , -2.43413523938 , -0.006850351245 , 329.00000 , 355.32999 , -0.16057603 , 108.27000 , 109.37200 , 0.0 , 1925971.10000 , 1960999.90000 , 296071.21461 
Tue Dec 16 21:35:38 2014 , -2.43413523938 , -0.006850351245 , 329.00001 , 355.32999 , -0.16057603 , 107.78701 , 109.37623 , 0.0 , 1925971.10000 , 1961000.00000 , 296071.21461 
Wed Dec 17 00:39:13 2014 , -2.99798846789 , -0.00843722388006 , 330.01751 , 355.32878 , -0.16057603 , 107.87002 , 109.49099 , 0.0 , 1946059.80000 , 1961000.00000 , 296071.21461 
